Word,Exclude?,Occurrences
something,Y,N/A
everything,Y,N/A
nothing,Y,N/A
anything,Y,N/A
regarding,R,N/A
according,R,N/A
pertaining,R,N/A
thing,Y,18602
morning,Y,5598
evening,Y,3619
building,N,3167
meeting,N,3102
feeling,N,2524
reading,N,2108
king,Y,1784
training,N,1748
being,Y,1651
housing,R,1590
painting,N,1379
beginning,N,1361
spring,Y,1260
teaching,N,1230
living,N,1214
meaning,N,1148
wing,Y,1036
understanding,N,1024
writing,N,1012
fishing,N,894
ring,Y,878
darling,Y,767
drawing,Y,694
warning,Y,692
thinking,N,648
engineering,N,638
wedding,R,633
clothing,R,615
going,N,608
string,Y,562
farming,N,546
ceiling,Y,530
advertising,N,524
hunting,N,524
offering,N,432
opening,N,406
fighting,N,402
shopping,N,398
heating,N,385
breathing,N,362
landing,N,354
coming,N,352
suffering,N,350
hearing,N,335
shooting,N,325
finding,N,324
dwelling,N,323
cooking,N,318
swing,Y,318
setting,N,307
running,N,305
dressing,N,292
acting,N,284
pudding,Y,281
parking,N,254
lightning,Y,253
blessing,N,250
shilling,N,241
smoking,N,241
recording,N,236
broadcasting,N,226
lighting,N,221
singing,N,218
nursing,N,214
gathering,N,212
greeting,N,209
following,N,208
stocking,N,208
racing,N,207
holding,N,198
left-wing,Y,192
timing,N,192
cutting,N,191
publishing,N,185
breeding,N,184
marketing,N,180
crossing,N,177
longing,N,174
drinking,N,173
grouping,N,173
mining,N,170
printing,N,170
spelling,N,164
right-wing,Y,163
shipping,N,160
clearing,N,155
offspring,Y,154
passing,N,153
schooling,N,153
boarding,N,150
booking,N,150
gambling,N,146
Irving,Y,146
borrowing,N,145
serving,N,145
wellbeing,N,145
banking,N,143
misunderstanding,N,139
washing,N,138
ending,N,137
standing,N,137
beating,N,136
reasoning,N,135
herring,Y,132
bearing,N,131
angling,N,128
casting,N,127
parting,N,127
sterling,Y,121
carving,N,120
sitting,N,118
briefing,N,117
backing,N,116
dealing,N,115
bowling,N,114
swelling,N,113
Peking,Y,112
cunning,N,111
liking,N,111
outing,N,109
visiting,N,109
swimming,N,108
keeping,N,107
railing,N,107
riding,N,106
saying,N,106
fitting,N,104
rating,N,103
showing,N,103
travelling,N,103
handwriting,Y,100
heading,N,100
hanging,N,99
gardening,N,96
ruling,N,95
filling,N,94
calling,N,91
mourning,N,91
upbringing,Y,91
camping,N,89
undertaking,N,89
bathing,N,88
packing,N,86
covering,N,85
flying,N,85
shouting,N,84
sailing,N,83
marking,N,82
uprising,N,81
colouring,N,76
engraving,N,76
happening,N,75
lining,N,75
