Word,Exclude?,Occurrences,ClassNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
thing,Y,18602,1,Y,N,Y,N,N,N,N,N,N,N,N
morning,Y,5598,1,Y,Y,Y,N,N,N,Y,N,N,N,N
evening,N,3619,1,Y,Y,N,N,N,N,N,N,N,N,N
building,N,3167,1,Y,Y,N,N,N,N,N,N,N,N,N
meeting,N,3102,1,Y,N,N,N,N,Y,N,N,N,N,N
feeling,N,2524,1,Y,Y,Y,N,N,N,N,N,N,N,N
reading,N,2108,1,Y,Y,N,N,N,N,Y,N,N,N,N
king,Y,1784,1,Y,N,N,N,N,N,Y,N,N,N,N
training,N,1748,1,N,Y,Y,N,N,N,N,N,N,N,N
being,Y,1651,1,Y,Y,N,N,N,N,N,N,N,N,N
housing,Y,1590,1,N,Y,N,N,N,N,N,N,N,N,N
painting,N,1379,1,Y,Y,N,N,N,N,N,N,N,N,N
beginning,N,1361,1,Y,Y,N,N,N,N,N,N,N,N,N
spring,Y,1260,1,Y,Y,Y,N,N,N,N,N,N,N,N
teaching,N,1230,1,Y,Y,N,N,N,N,N,N,N,N,N
living,N,1214,1,Y,Y,N,Y,N,N,N,N,N,N,N
meaning,N,1148,1,Y,Y,N,N,N,N,N,N,N,N,N
wing,Y,1036,1,Y,N,N,N,N,N,N,N,N,N,N
understanding,N,1024,1,Y,Y,Y,N,N,N,N,N,N,N,N
writing,N,1012,1,Y,Y,N,N,N,N,N,N,N,N,N
fishing,N,894,1,N,Y,N,N,N,N,N,N,N,N,N
ring,Y,878,1,Y,N,Y,N,N,N,N,N,N,N,N
darling,Y,767,1,Y,N,N,N,N,N,N,N,Y,N,N
drawing,Y,694,1,Y,Y,N,N,N,N,N,N,N,N,N
warning,Y,692,1,Y,Y,N,N,N,N,N,N,N,N,N
thinking,N,648,1,N,Y,N,N,N,N,N,N,N,N,N
engineering,N,638,1,N,Y,N,N,N,N,N,N,N,N,N
wedding,Y,633,1,Y,N,N,N,N,N,N,N,N,N,N
clothing,Y,615,1,N,Y,N,N,N,N,N,N,N,N,N
going,N,608,1,Y,Y,N,N,N,N,N,N,N,N,N
string,Y,562,1,Y,Y,N,N,N,N,N,N,N,N,N
farming,N,546,1,N,Y,N,N,N,N,N,N,N,N,N
ceiling,Y,530,1,Y,N,N,N,N,N,N,N,N,N,N
advertising,N,524,1,N,Y,N,N,N,N,N,N,N,N,N
hunting,N,524,1,N,Y,N,N,N,N,N,N,N,N,N
